"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 07 16:17:56 CST 2022","Mon Mar 07 16:19:45 CST 2022","108603","tests.web_tests.step_defs","test_crypto","","","","test_crypt","../features/crypto.feature: 场景1：正常跳转到到ZIL/USDT的交易页面"
"passed","Mon Mar 07 16:17:42 CST 2022","Mon Mar 07 16:17:43 CST 2022","378","tests.api_tests","test_api","TestApi","","","test_get_humidity[caseinfo0]",""
